fid,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,pop_sum
73,33,BRA,Brazil,2,Alagoas,73,Marechal deodoro,Município,Municipality,,,65080
74,33,BRA,Brazil,2,Alagoas,74,Maribondo,Município,Municipality,,,13552
75,33,BRA,Brazil,2,Alagoas,75,Mata Grande,Município,Municipality,,,23176
76,33,BRA,Brazil,2,Alagoas,76,Matriz de Camaragibe,Município,Municipality,,,26009
77,33,BRA,Brazil,2,Alagoas,77,Messias,Município,Municipality,,,14978
78,33,BRA,Brazil,2,Alagoas,78,Minador do Negrão,Município,Municipality,,,4610
79,33,BRA,Brazil,2,Alagoas,79,Monteirópolis,Município,Municipality,,,7101
80,33,BRA,Brazil,2,Alagoas,80,Murici,Município,Municipality,,,25057
81,33,BRA,Brazil,2,Alagoas,81,Novo Lino,Município,Municipality,,,8396
82,33,BRA,Brazil,2,Alagoas,82,Olho d'Água das Flores,Município,Municipality,,,20317
83,33,BRA,Brazil,2,Alagoas,83,Olho d'Água do Casado,Município,Municipality,,,8276
84,33,BRA,Brazil,2,Alagoas,84,Olho d'Água Grande,Município,Municipality,,,4091
85,33,BRA,Brazil,2,Alagoas,85,Olivença,Município,Municipality,,,11125
86,33,BRA,Brazil,2,Alagoas,86,Ouro Branco,Município,Municipality,,,12033
87,33,BRA,Brazil,2,Alagoas,87,Pão de Açúcar,Município,Municipality,,,23915
88,33,BRA,Brazil,2,Alagoas,88,Palestina,Município,Municipality,,,4535
89,33,BRA,Brazil,2,Alagoas,89,Palmeira dos índios,Município,Municipality,,,74430
90,33,BRA,Brazil,2,Alagoas,90,Pariconha,Município,Municipality,,,10757
91,33,BRA,Brazil,2,Alagoas,91,Paripueira,Município,Municipality,,,13688
92,33,BRA,Brazil,2,Alagoas,92,Passo de Camaragibe,Município,Municipality,,,10863
93,33,BRA,Brazil,2,Alagoas,93,Paulo Jacinto,Município,Municipality,,,5995
94,33,BRA,Brazil,2,Alagoas,94,Penedo,Município,Municipality,,,59877
95,33,BRA,Brazil,2,Alagoas,95,Piaçabuçu,Município,Municipality,,,15063
96,33,BRA,Brazil,2,Alagoas,96,Pilar,Município,Municipality,,,36915
97,33,BRA,Brazil,2,Alagoas,97,Pindoba,Município,Municipality,,,2462
98,33,BRA,Brazil,2,Alagoas,98,Piranhas,Município,Municipality,,,21662
99,33,BRA,Brazil,2,Alagoas,99,Poço das Trincheiras,Município,Municipality,,,12457
100,33,BRA,Brazil,2,Alagoas,100,Porto Calvo,Município,Municipality,,,21050
101,33,BRA,Brazil,2,Alagoas,101,Porto de Pedras,Município,Municipality,,,10864
102,33,BRA,Brazil,2,Alagoas,102,Porto Real do Colégio,Município,Municipality,,,21186
103,33,BRA,Brazil,2,Alagoas,103,Quebrangulo,Município,Municipality,,,10361
104,33,BRA,Brazil,2,Alagoas,104,Rio Largo,Município,Municipality,,,96359
105,33,BRA,Brazil,2,Alagoas,105,Roteiro,Município,Municipality,,,6111
106,33,BRA,Brazil,2,Alagoas,106,São Brás,Município,Municipality,,,6560
